ID,Type,Status,LastMaintenance,LocationID
274,Electricity,Good,2004-03-02 20:17:19,937
275,Pipeline,Good,2003-04-17 12:41:22,837
276,Sewer,Needs Maintenance,2011-10-21 06:56:44,255
277,Electricity,Good,2021-02-24 23:17:51,834
278,Sewer,Good,2002-11-04 01:10:52,508
279,Powerline,Good,2010-01-07 02:20:55,639
280,Electricity,Good,2016-07-12 09:24:15,202
281,Powerline,Good,2018-06-16 06:02:30,980
282,Powerline,Good,2017-12-08 21:51:26,373
283,Pipeline,Good,2024-05-29 22:43:12,48
284,Pipeline,Good,2003-02-23 22:02:34,59
285,Sewer,Good,2018-02-22 11:25:37,351
286,Pipeline,Good,1997-09-01 16:31:48,89
287,Electricity,Good,2022-05-21 18:14:53,282
288,Pipeline,Needs Maintenance,2001-09-02 16:04:28,751
289,Road Construction,Good,2023-12-30 06:20:05,998
290,Sewer,Good,2001-12-16 04:20:28,182
291,Road Construction,Good,2014-11-30 13:55:38,532
292,Powerline,Good,2018-05-24 15:18:00,754
293,Pipeline,Good,2005-11-26 19:11:14,330
294,Sewer,Good,2017-01-21 20:16:52,597
295,Pipeline,Good,2006-12-19 23:35:30,799
296,Sewer,Good,2023-12-17 18:10:37,658
297,Powerline,Good,2002-10-05 16:23:40,757
298,Sewer,Good,2021-07-18 15:46:01,373
299,Powerline,Broken,2005-10-08 20:43:37,652
300,Road Construction,Good,2014-05-31 11:08:49,90
301,Pipeline,Good,2020-03-19 01:33:31,241
302,Pipeline,Good,2009-06-17 15:54:11,590
303,Electricity,Good,2020-03-04 11:41:58,863
304,Powerline,Good,1999-10-18 15:42:21,259
305,Electricity,Good,2009-05-24 15:30:18,849
306,Pipeline,Good,2017-10-28 03:56:33,958
307,Pipeline,Good,2016-07-14 21:24:23,11
308,Road Construction,Good,2008-03-04 10:02:55,265
309,Pipeline,Good,2010-11-04 07:03:51,202
310,Sewer,Good,1997-10-18 09:06:25,147
311,Powerline,Good,2015-10-08 22:36:03,628
312,Sewer,Good,2004-08-13 04:32:35,523
313,Powerline,Good,2018-06-04 13:37:43,166
314,Road Construction,Good,2002-09-26 10:26:44,572
315,Sewer,Good,2001-10-22 04:19:05,484
316,Sewer,Good,2003-09-24 23:40:05,691
317,Pipeline,Good,2006-04-08 21:31:23,595
318,Powerline,Needs Maintenance,2018-01-04 10:56:19,614
319,Pipeline,Good,2009-07-07 23:46:05,523
320,Sewer,Good,1998-07-03 18:15:21,249
321,Electricity,Good,2007-04-16 15:02:22,688
322,Electricity,Good,1998-06-02 05:28:34,397
323,Pipeline,Good,2003-04-12 04:28:29,179
324,Road Construction,Good,2009-09-19 16:30:47,71
325,Road Construction,Good,2008-09-23 02:17:11,440
326,Electricity,Needs Maintenance,2007-03-08 00:41:43,904
327,Road Construction,Good,2010-03-26 18:19:11,514
328,Sewer,Good,2005-10-08 21:49:35,145
329,Sewer,Good,2021-06-17 02:11:17,673
330,Pipeline,Good,2012-01-30 06:51:22,197
331,Sewer,Good,,849
332,Electricity,Good,2021-10-10 04:15:24,810
333,Sewer,Good,2012-11-26 16:41:18,669
334,Sewer,Good,2008-06-10 12:09:12,615
335,Sewer,Good,2004-05-14 10:15:23,623
336,Powerline,Good,2002-05-30 08:34:26,333
337,Electricity,Good,2020-03-16 00:58:48,800
338,Powerline,Good,2014-03-19 23:26:04,947
339,Sewer,Good,2008-12-10 23:57:05,566
340,Pipeline,Good,2022-09-08 21:18:39,145
341,Pipeline,Good,1999-09-19 02:24:38,794
342,Sewer,Needs Maintenance,2013-12-25 15:11:11,178
343,Road Construction,Good,2007-05-21 01:54:24,323
344,Powerline,Good,2008-10-08 12:24:13,312
345,Pipeline,Good,2018-10-15 08:22:57,522
346,Road Construction,Good,2018-12-22 10:38:20,267
347,Electricity,Good,2005-04-11 02:24:11,981
348,Electricity,Good,2008-01-31 18:00:43,847
349,Electricity,Good,2001-04-24 14:24:47,76
350,Pipeline,Good,2021-01-31 08:19:44,322
351,Powerline,Good,2002-10-26 13:11:08,432
352,Electricity,Good,2019-11-08 04:11:40,690
353,Electricity,Needs Maintenance,2017-02-18 21:56:27,304
354,Road Construction,Good,1998-10-26 16:52:22,573
355,Sewer,Needs Maintenance,2015-08-26 21:56:23,116
356,Pipeline,Good,2020-07-24 10:00:57,567
357,Sewer,Good,2024-06-14 12:36:06,1
358,Electricity,Good,2003-12-15 00:51:40,538
359,Electricity,Good,2003-12-05 21:37:10,569
360,Pipeline,Good,2003-09-01 20:02:27,456
361,Road Construction,Good,2020-05-29 04:36:56,281
362,Sewer,Good,1999-09-15 23:43:51,753
363,Powerline,Good,2021-01-29 08:56:32,317
364,Powerline,Good,2019-01-07 02:02:09,827
365,Road Construction,Good,2007-09-11 07:20:08,535
366,Sewer,Good,1999-01-05 00:15:53,823
367,Electricity,Good,2015-01-10 13:56:59,582
368,Electricity,Good,2012-10-04 02:30:11,664
369,Powerline,Good,2021-10-15 20:22:35,859
370,Road Construction,Good,2005-08-25 07:17:45,49
371,Road Construction,Needs Maintenance,2004-10-25 05:22:47,529
372,Sewer,Good,2011-10-20 20:13:53,798
373,Powerline,Good,2009-10-09 01:29:35,922
374,Road Construction,Good,2011-09-04 20:09:10,709
375,Pipeline,Good,1997-07-24 19:26:37,320
376,Pipeline,Good,2024-03-05 09:00:08,333
377,Road Construction,Good,2020-12-04 12:26:31,22
378,Pipeline,Good,2012-11-21 12:43:04,373
379,Sewer,Good,1998-05-06 08:45:50,235
380,Powerline,Good,2010-02-20 18:53:29,863
381,Road Construction,Good,2020-09-04 03:08:40,601
382,Electricity,Needs Maintenance,2020-08-08 09:41:14,435
383,Powerline,Needs Maintenance,2000-09-10 04:44:36,445
384,Pipeline,Good,2002-08-28 14:08:36,942
385,Electricity,Good,2006-06-12 04:31:09,1000
386,Powerline,Good,,996
387,Powerline,Good,2022-11-23 01:14:44,973
388,Pipeline,Good,2007-08-16 19:39:02,264
389,Electricity,Good,2013-03-24 15:33:49,179
390,Powerline,Good,,129
391,Pipeline,Good,2003-06-18 21:06:17,546
392,Powerline,Good,2020-08-23 07:30:40,878
393,Pipeline,Good,2014-11-27 02:03:52,171
394,Electricity,Good,2022-12-07 01:48:19,569
395,Electricity,Good,2012-04-02 15:21:08,492
396,Sewer,Good,2011-01-22 01:17:40,575
397,Powerline,Good,2023-11-30 15:33:48,456
398,Sewer,Good,2005-11-25 20:10:36,897
399,Powerline,Good,2002-10-04 09:26:16,542
400,Road Construction,Good,2009-11-11 05:01:02,344
401,Pipeline,Good,2018-07-21 13:38:00,41
402,Powerline,Good,2014-08-04 21:53:33,12
403,Powerline,Good,2005-07-04 18:59:36,990
404,Electricity,Good,2011-04-30 07:57:50,427
405,Sewer,Good,2021-08-25 08:18:35,692
406,Pipeline,Good,2017-02-17 20:38:17,124
407,Powerline,Good,2016-02-04 14:22:30,504
408,Pipeline,Good,2002-05-09 22:46:30,142
409,Road Construction,Good,2001-09-02 16:42:19,484
410,Pipeline,Good,2013-09-20 01:05:47,933
411,Road Construction,Good,2009-04-24 00:53:30,429
412,Road Construction,Good,1997-09-08 17:42:28,945
413,Sewer,Good,2008-04-04 02:37:26,
414,Pipeline,Good,2016-09-27 05:48:13,593
415,Road Construction,Good,2018-04-26 15:14:14,554
416,Electricity,Good,2011-01-16 22:23:47,287
417,Road Construction,Good,2016-06-28 00:30:02,583
418,Electricity,Good,2024-06-24 08:38:31,732
419,Powerline,Good,2016-10-05 15:41:24,785
420,Powerline,Good,2000-12-03 10:58:15,679
421,Electricity,Good,2007-03-25 23:18:22,192
422,Pipeline,Good,2010-02-24 22:07:42,23
423,Sewer,Good,2000-08-28 10:38:42,946
424,Pipeline,Good,2021-02-15 18:02:19,531
425,Road Construction,Good,2023-10-12 22:46:23,713
426,Electricity,Good,2016-01-05 06:00:26,454
427,Road Construction,Good,2023-12-03 13:52:31,246
428,Powerline,Good,2001-09-09 04:24:18,191
429,Electricity,Good,2015-04-17 09:13:21,204
430,Pipeline,Good,2001-01-08 23:17:10,221
431,Electricity,Good,2005-04-23 04:11:27,683
432,Road Construction,Good,2001-02-14 16:05:34,729
433,Electricity,Needs Maintenance,2016-04-05 01:13:14,682
434,Pipeline,Good,2018-06-04 02:21:26,599
435,Powerline,Good,2013-03-07 17:47:52,440
436,Pipeline,Good,2013-08-27 20:18:13,231
437,Sewer,Good,2017-04-15 20:16:24,383
438,Electricity,Good,2011-12-27 07:55:32,471
439,Sewer,Good,2016-02-15 20:31:03,218
440,Electricity,Good,2019-02-18 19:03:36,307
441,Electricity,Good,2003-05-12 09:33:26,81
442,Powerline,Good,2005-05-06 08:48:02,187
443,Pipeline,Good,2011-01-03 23:07:06,860
444,Sewer,Good,2012-07-20 09:33:14,888
445,Powerline,Good,2018-06-13 23:20:50,5
446,Sewer,Good,2002-05-01 12:23:56,964
447,Pipeline,Good,2019-03-02 10:09:51,192
448,Sewer,Good,2003-07-08 12:30:59,668
449,Pipeline,Good,2018-10-04 14:00:35,711
450,Pipeline,Good,2020-04-16 12:33:30,510
451,Powerline,Good,2021-09-07 07:44:53,321
452,Electricity,Good,2000-08-02 22:48:07,145
453,Road Construction,Good,2013-08-24 12:14:38,956
454,Pipeline,Good,2006-07-02 04:21:11,724
455,Sewer,Good,2004-01-25 05:48:17,508
456,Road Construction,Good,2010-06-28 01:18:45,94
457,Pipeline,Good,2006-08-24 02:36:50,245
458,Powerline,Good,1997-12-22 10:17:32,315
459,Powerline,Good,2015-09-23 03:14:36,386
460,Powerline,Good,2004-06-05 12:30:23,251
461,Sewer,Good,1998-11-04 20:43:52,996
462,Electricity,Broken,1997-11-12 07:16:37,924
463,Pipeline,Good,2008-09-26 20:04:02,889
464,Road Construction,Good,1999-08-12 17:02:20,569
465,Road Construction,Good,2008-10-07 23:52:51,733
466,Electricity,Good,,704
467,Electricity,Good,1999-02-03 22:39:38,314
468,Electricity,Good,2020-05-03 00:45:39,470
469,Sewer,Good,2021-08-27 07:25:23,824
470,Electricity,Good,2018-01-13 22:59:04,513
471,Pipeline,Needs Maintenance,2001-04-01 13:26:53,762
472,Road Construction,Good,2008-05-08 05:23:57,864
473,Road Construction,Good,2001-07-10 22:11:57,307
474,Road Construction,Good,2017-07-22 20:11:23,979
475,Sewer,Good,2007-02-26 02:22:48,625
476,Pipeline,Good,2007-04-02 05:26:15,909
477,Electricity,Good,2016-12-07 11:26:35,124
478,Electricity,Good,2022-01-29 19:52:59,575
479,Pipeline,Good,2008-09-05 09:39:10,
480,Pipeline,Good,2003-02-06 22:17:26,695
481,Road Construction,Good,2018-06-04 10:52:40,505
482,Pipeline,Good,2022-10-17 16:45:32,465
483,Sewer,Good,2014-08-19 15:13:19,225
484,Pipeline,Good,1998-07-25 17:36:24,
485,Electricity,Good,2018-12-23 02:14:13,790
486,Pipeline,Good,2020-04-23 15:41:34,344
487,Pipeline,Good,2008-08-16 04:31:39,939
488,Electricity,Good,2017-11-09 16:02:44,272
489,Electricity,Good,2022-04-02 15:25:32,466
490,Road Construction,Good,,665
491,Road Construction,Good,,855
492,Powerline,Good,2006-01-23 05:55:29,299
493,Pipeline,Good,2017-12-25 08:26:39,26
494,Sewer,Good,2000-04-12 23:45:53,938
495,Road Construction,Good,2003-11-03 03:55:43,396
496,Pipeline,Good,1998-10-28 12:50:12,125
497,Powerline,Good,2012-06-28 00:36:39,
498,Sewer,Good,2004-02-19 00:23:18,183
499,Pipeline,Good,2013-11-30 17:28:06,44
500,Pipeline,Needs Maintenance,1998-02-25 21:49:24,163
501,Electricity,Needs Maintenance,2010-08-15 16:36:44,761
502,Electricity,Good,2020-03-08 17:49:59,957
503,Pipeline,Good,2013-11-17 03:37:15,532
504,Electricity,Good,2015-11-24 03:13:21,107
505,Road Construction,Good,,194
506,Electricity,Good,2008-09-28 00:28:55,244
507,Electricity,Good,2006-09-26 13:43:56,182
508,Powerline,Good,2016-03-06 18:41:17,165
509,Road Construction,Good,2020-12-31 01:05:23,568
510,Electricity,Good,2017-11-11 00:41:03,835
511,Pipeline,Good,2017-12-09 08:23:27,517
512,Road Construction,Good,2023-03-23 03:25:41,928
513,Pipeline,Good,2021-04-18 17:10:33,179
514,Electricity,Good,,613
515,Powerline,Needs Maintenance,2010-09-01 15:05:17,143
516,Sewer,Good,2012-09-04 01:36:08,463
517,Pipeline,Good,2014-04-15 06:53:18,267
518,Sewer,Good,2018-01-06 17:30:24,912
519,Powerline,Good,2005-01-13 16:59:57,261
520,Electricity,Good,2020-09-02 02:36:12,166
521,Pipeline,Good,2006-01-02 23:50:15,607
522,Electricity,Needs Maintenance,2005-07-01 14:31:18,398
523,Pipeline,Good,2010-12-07 17:11:38,62
524,Electricity,Good,2004-11-02 05:49:43,909
525,Sewer,Good,2021-08-06 08:46:52,808
526,Road Construction,Good,1999-06-02 00:07:59,151
527,Road Construction,Needs Maintenance,2003-04-10 20:33:27,111
528,Sewer,Good,2009-03-05 15:49:56,49
529,Road Construction,Good,2021-05-10 03:41:45,184
530,Road Construction,Good,2017-02-11 21:24:23,629
531,Road Construction,Good,2001-04-22 03:31:29,178
532,Pipeline,Needs Maintenance,2006-11-02 09:30:08,755
533,Sewer,Good,2004-10-28 14:11:34,833
534,Powerline,Good,2020-03-09 06:44:32,985
535,Electricity,Good,2006-04-20 22:05:39,24
536,Road Construction,Good,2020-12-01 18:21:46,412
537,Electricity,Good,2000-11-14 12:41:48,899
538,Electricity,Needs Maintenance,2011-12-07 08:06:21,174
539,Sewer,Good,2009-04-28 14:53:32,667
540,Electricity,Good,2016-04-13 00:25:55,981
541,Powerline,Good,2007-06-13 16:00:29,955
542,Electricity,Good,1999-05-08 06:29:07,357
543,Pipeline,Good,2004-10-12 10:58:21,693
544,Powerline,Good,2020-01-28 15:02:22,357
545,Sewer,Good,2010-11-25 15:27:29,508
546,Electricity,Good,2005-11-04 22:24:28,190
547,Sewer,Good,1998-08-25 03:17:58,591
